Title,Description,Category, SKU,Duration (min),Specialist Grade,Price,Salon 1 — (Premium),Salon 2 — (Premium),Salon 3 — (Mid),Salon 3 — (Budget)
Turkish Hammam,"Classic Turkish bath ritual with steam, foam massage and exfoliation.",Body/Hammam & Rituals,bh02,75,Master Therapist,520,520,520,390,290
Body Scrub & Polish,Full-body exfoliation with sugar or salt scrub followed by nourishing oil application.,Body/Hammam & Rituals,bh03,45,Master Therapist,380,380,380,280,210
Full Legs,Hair removal of complete leg area using warm wax or sugar paste.,Body/Waxing & Sugaring,bws01,45,Master Therapist,260,260,260,200,140
Half Legs,Hair removal of lower or upper leg area.,Body/Waxing & Sugaring,bws02,30,Master Therapist,150,150,150,110,80
Full Arms,Hair removal of complete arm area.,Body/Waxing & Sugaring,bws03,30,Master Therapist,160,160,160,120,90
Underarm,Quick and precise hair removal of the underarm area.,Body/Waxing & Sugaring,bws04,15,Master Therapist,80,80,80,60,40
Bikini — Classic,Hair removal along the bikini line only.,Body/Waxing & Sugaring,bws05,20,Master Therapist,130,130,130,100,70
Bikini — Brazilian,Extended bikini removal leaving a small strip in front.,Body/Waxing & Sugaring,bws06,30,Master Therapist,210,210,210,160,120
Bikini — Hollywood,Complete hair removal of the intimate area.,Body/Waxing & Sugaring,bws07,35,Master Therapist,260,260,260,200,140
Face Waxing / Threading,"Removal of facial hair (upper lip, chin, sides) using wax or threading.",Body/Waxing & Sugaring,bws08,20,Master Therapist,110,110,110,80,60
Full Body,"Complete hair removal package: legs, arms, underarms, bikini and face.",Body/Waxing & Sugaring,bws09,120,Master Therapist,750,750,750,560,410
Detox Wrap,Body wrap with green clay and essential oils for detoxification and skin firming.,Body/Body Wraps,bbw01,75,Master Therapist,560,560,560,420,310
Chocolate Wrap,Indulgent wrap with cocoa-rich formula nourishing skin and lifting mood.,Body/Body Wraps,bbw02,75,Master Therapist,600,600,600,450,330
Seaweed Wrap,Mineral-rich wrap with marine algae to remineralize and tone the skin.,Body/Body Wraps,bbw03,75,Master Therapist,600,600,600,450,330
Slimming Wrap,Targeted wrap with caffeine and active ingredients for inch-loss effect.,Body/Body Wraps,bbw04,75,Master Therapist,640,640,640,480,350
Henna Hand Design,"Traditional henna design on hands. Small, medium or full design options.",Body/Henna Art,bha01,45,Master Therapist,180,180,180,140,100
Henna Feet Design,"Traditional henna design on feet, suitable for celebrations and pre-wedding rituals.",Body/Henna Art,bha02,45,Master Therapist,180,180,180,140,100
Bridal Henna,Elaborate bridal henna design covering hands and feet with intricate patterns.,Body/Henna Art,bha03,180,Master Therapist,1 000,1 000,1 000,Not available,Not available
Eid / Occasion Henna,Festive henna design for Eid celebrations and special occasions.,Body/Henna Art,bha04,60,Master Therapist,260,260,260,200,140
Classic Manicure,"Nail shaping, cuticle care, hand massage and regular polish application.",Nails/Manicure,nm01,45,Nail Specialist,120,120,120,90,70
Gel Manicure,Manicure with long-lasting gel polish. Up to 3 weeks chip-free wear.,Nails/Manicure,nm02,60,Nail Specialist,190,190,190,140,100
Combined Manicure,Dry e-file manicure technique with deep cuticle work and ultra-precise polish application.,Nails/Manicure,nm03,90,Nail Specialist,260,260,260,200,140
Nail Art,Custom nail art design added to manicure. Price varies by complexity (per nail or full set).,Nails/Manicure,nm04,45,Nail Specialist,150,150,150,110,80
Classic Pedicure,"Foot soak, nail shaping, cuticle care, light callus removal and polish.",Nails/Pedicure,np01,60,Nail Specialist,180,180,180,140,100
Spa Pedicure,"Extended pedicure with exfoliating scrub, mask, foot massage and polish.",Nails/Pedicure,np02,75,Nail Specialist,260,260,260,200,140
Gel Pedicure,Pedicure with long-lasting gel polish for up to 4 weeks of perfect shine.,Nails/Pedicure,np03,75,Nail Specialist,280,280,280,210,150
Medical Pedicure,"Specialized pedicure for problem feet: cracks, calluses, ingrown nails. Performed with medical tools.",Nails/Pedicure,np04,90,Nail Specialist,450,450,450,340,250
